family	key	match_tag	case_variant	case_variant_key_collision	context	input	target_surfaces	ordered_returned_surfaces
C	AL	1	al	False	comma-neighbor	We noted, AL, today.	AL	We / noted / , / AL / , / today / . / Next / .
C	AL	1	al	False	case-variant-neutral	We noted al today.	al	We / noted / al / today / . / Next / .
C	AP	1	ap	False	baseline-neutral	We noted AP today.	AP	We / noted / AP / today / . / Next / .
C	AP	1	ap	False	numeric-or-ordinary	It is 5 AP. long.	April / fifth	It / is / April / fifth / long / . / Next / .
C	AP	1	ap	False	comma-neighbor	We noted, AP, today.	AP	We / noted / , / AP / , / today / . / Next / .
C	AP	1	ap	False	case-variant-neutral	We noted ap today.	ap	We / noted / ap / today / . / Next / .
C	APR	1	apr	False	baseline-neutral	We noted APR today.	April	We / noted / April / today / . / Next / .
C	APR	1	apr	False	calendar-date	We met on APR. 5.	April	We / met / on / April / fifth / . / Next / .
C	APR	1	apr	False	comma-neighbor	We noted, APR, today.	April	We / noted / , / April / , / today / . / Next / .
C	APR	1	apr	False	case-variant-neutral	We noted apr today.	April	We / noted / April / today / . / Next / .
C	AR	1	ar	False	baseline-neutral	We noted AR today.	AR	We / noted / AR / today / . / Next / .
C	AR	1	ar	False	state-code	We live in AR.	AR	We / live / in / AR / . / Next / .
C	AR	1	ar	False	comma-neighbor	We noted, AR, today.	AR	We / noted / , / AR / , / today / . / Next / .
C	AR	1	ar	False	case-variant-neutral	We noted ar today.	ar	We / noted / ar / today / . / Next / .
C	AS	1	as	False	baseline-neutral	We noted AS today.	AS	We / noted / AS / today / . / Next / .
C	AS	1	as	False	numeric-or-ordinary	It is 5 AS. long.	five / AS	It / is / five / AS / long / . / Next / .
C	AS	1	as	False	comma-neighbor	We noted, AS, today.	AS	We / noted / , / AS / , / today / . / Next / .
C	AS	1	as	False	case-variant-neutral	We noted as today.	as	We / noted / as / today / . / Next / .
C	AUG	1	aug	False	baseline-neutral	We noted AUG today.	August	We / noted / August / today / . / Next / .
C	AUG	1	aug	False	calendar-date	We met on AUG. 5.	August	We / met / on / August / fifth / . / Next / .
C	AUG	1	aug	False	comma-neighbor	We noted, AUG, today.	August	We / noted / , / August / , / today / . / Next / .
C	AUG	1	aug	False	case-variant-neutral	We noted aug today.	August	We / noted / August / today / . / Next / .
C	AZ	1	az	False	baseline-neutral	We noted AZ today.	AZ	We / noted / AZ / today / . / Next / .
C	AZ	1	az	False	state-code	We live in AZ.	AZ	We / live / in / AZ / . / Next / .
C	AZ	1	az	False	comma-neighbor	We noted, AZ, today.	AZ	We / noted / , / AZ / , / today / . / Next / .
C	AZ	1	az	False	case-variant-neutral	We noted az today.	az	We / noted / az / today / . / Next / .
C	Ap	1	ap	False	baseline-neutral	We noted Ap today.	Ap	We / noted / Ap / today / . / Next / .
C	Ap	1	ap	False	numeric-or-ordinary	It is 5 Ap. long.	April / fifth	It / is / April / fifth / long / . / Next / .
C	Ap	1	ap	False	comma-neighbor	We noted, Ap, today.	Ap	We / noted / , / Ap / , / today / . / Next / .
C	Ap	1	ap	False	case-variant-neutral	We noted ap today.	ap	We / noted / ap / today / . / Next / .
C	Apr	1	apr	False	baseline-neutral	We noted Apr today.	April	We / noted / April / today / . / Next / .
C	Apr	1	apr	False	calendar-date	We met on Apr. 5.	April	We / met / on / April / fifth / . / Next / .
C	Apr	1	apr	False	comma-neighbor	We noted, Apr, today.	April	We / noted / , / April / , / today / . / Next / .
C	Apr	1	apr	False	case-variant-neutral	We noted apr today.	April	We / noted / April / today / . / Next / .
C	Aug	1	aug	False	baseline-neutral	We noted Aug today.	August	We / noted / August / today / . / Next / .
C	Aug	1	aug	False	calendar-date	We met on Aug. 5.	August	We / met / on / August / fifth / . / Next / .
C	Aug	1	aug	False	comma-neighbor	We noted, Aug, today.	August	We / noted / , / August / , / today / . / Next / .
C	Aug	1	aug	False	case-variant-neutral	We noted aug today.	August	We / noted / August / today / . / Next / .
C	BC	1	bc	False	baseline-neutral	We noted BC today.	BC	We / noted / BC / today / . / Next / .
C	BC	1	bc	False	numeric-or-ordinary	It is 5 BC. long.	five / BC	It / is / five / BC / long / . / Next / .
C	BC	1	bc	False	comma-neighbor	We noted, BC, today.	BC	We / noted / , / BC / , / today / . / Next / .
C	BC	1	bc	False	case-variant-neutral	We noted bc today.	bc	We / noted / bc / today / . / Next / .
C	Bq	1	bq	False	baseline-neutral	We noted Bq today.	becquerel	We / noted / becquerel / today / . / Next / .
C	Bq	1	bq	False	numeric-or-ordinary	It is 5 Bq. long.	five / becquerels	It / is / five / becquerels / long / . / Next / .
C	Bq	1	bq	False	comma-neighbor	We noted, Bq, today.	becquerel	We / noted / , / becquerel / , / today / . / Next / .
C	Bq	1	bq	False	case-variant-neutral	We noted bq today.	bq	We / noted / bq / today / . / Next / .
C	CA	1	ca	False	baseline-neutral	We noted CA today.	CA	We / noted / CA / today / . / Next / .
C	CA	1	ca	False	state-code	We live in CA.	CA	We / live / in / CA / . / Next / .
C	CA	1	ca	False	comma-neighbor	We noted, CA, today.	CA	We / noted / , / CA / , / today / . / Next / .
C	CA	1	ca	False	case-variant-neutral	We noted ca today.	ca	We / noted / ca / today / . / Next / .
C	CHAS	1	chas	False	baseline-neutral	We noted CHAS today.	CHAS	We / noted / CHAS / today / . / Next / .
C	CHAS	1	chas	False	numeric-or-ordinary	It is 5 CHAS. long.	five / CHAS	It / is / five / CHAS / long / . / Next / .
C	CHAS	1	chas	False	comma-neighbor	We noted, CHAS, today.	CHAS	We / noted / , / CHAS / , / today / . / Next / .
C	CHAS	1	chas	False	case-variant-neutral	We noted chas today.	chas	We / noted / chas / today / . / Next / .
C	CO	1	co	False	baseline-neutral	We noted CO today.	Company	We / noted / Company / today / . / Next / .
C	CO	1	co	False	state-code	We live in CO.	CO	We / live / in / CO / . / Next / .
C	CO	1	co	False	comma-neighbor	We noted, CO, today.	CO	We / noted / , / CO / , / today / . / Next / .
C	CO	1	co	False	case-variant-neutral	We noted co today.	co	We / noted / co / today / . / Next / .
C	Chas	1	chas	False	baseline-neutral	We noted Chas today.	Chas	We / noted / Chas / today / . / Next / .
C	Chas	1	chas	False	numeric-or-ordinary	It is 5 Chas. long.	five / Chas	It / is / five / Chas / long / . / Next / .
C	Chas	1	chas	False	comma-neighbor	We noted, Chas, today.	Chas	We / noted / , / Chas / , / today / . / Next / .
C	Chas	1	chas	False	case-variant-neutral	We noted chas today.	chas	We / noted / chas / today / . / Next / .
C	Co	1	co	False	baseline-neutral	We noted Co today.	Company	We / noted / Company / today / . / Next / .
C	Co	1	co	False	numeric-or-ordinary	It is 5 Co. long.	five / Co	It / is / five / Co / long / . / Next / .
C	Co	1	co	False	comma-neighbor	We noted, Co, today.	Co	We / noted / , / Co / , / today / . / Next / .
C	Co	1	co	False	case-variant-neutral	We noted co today.	co	We / noted / co / today / . / Next / .
C	DC	1	dc	False	baseline-neutral	We noted DC today.	DC	We / noted / DC / today / . / Next / .
C	DC	1	dc	False	state-code	We live in DC.	DC	We / live / in / DC / . / Next / .
C	DC	1	dc	False	comma-neighbor	We noted, DC, today.	DC	We / noted / , / DC / , / today / . / Next / .
C	DC	1	dc	False	case-variant-neutral	We noted dc today.	dc	We / noted / dc / today / . / Next / .
C	DE	1	de	False	baseline-neutral	We noted DE today.	DE	We / noted / DE / today / . / Next / .
C	DE	1	de	False	state-code	We live in DE.	DE	We / live / in / DE / . / Next / .
C	DE	1	de	False	comma-neighbor	We noted, DE, today.	DE	We / noted / , / DE / , / today / . / Next / .
C	DE	1	de	False	case-variant-neutral	We noted de today.	de	We / noted / de / today / . / Next / .
C	DEC	1	dec	False	baseline-neutral	We noted DEC today.	December	We / noted / December / today / . / Next / .
C	DEC	1	dec	False	calendar-date	We met on DEC. 5.	December	We / met / on / December / fifth / . / Next / .
C	DEC	1	dec	False	comma-neighbor	We noted, DEC, today.	December	We / noted / , / December / , / today / . / Next / .
C	DEC	1	dec	False	case-variant-neutral	We noted dec today.	December	We / noted / December / today / . / Next / .
C	Dec	1	dec	False	baseline-neutral	We noted Dec today.	December	We / noted / December / today / . / Next / .
C	Dec	1	dec	False	calendar-date	We met on Dec. 5.	December	We / met / on / December / fifth / . / Next / .
C	Dec	1	dec	False	comma-neighbor	We noted, Dec, today.	December	We / noted / , / December / , / today / . / Next / .
C	Dec	1	dec	False	case-variant-neutral	We noted dec today.	December	We / noted / December / today / . / Next / .
C	EDW	1	edw	False	baseline-neutral	We noted EDW today.	EDW	We / noted / EDW / today / . / Next / .
C	EDW	1	edw	False	numeric-or-ordinary	It is 5 EDW. long.	five / EDW	It / is / five / EDW / long / . / Next / .
C	EDW	1	edw	False	comma-neighbor	We noted, EDW, today.	EDW	We / noted / , / EDW / , / today / . / Next / .
C	EDW	1	edw	False	case-variant-neutral	We noted edw today.	edw	We / noted / edw / today / . / Next / .
C	Edw	1	edw	False	baseline-neutral	We noted Edw today.	Edw	We / noted / Edw / today / . / Next / .
C	Edw	1	edw	False	numeric-or-ordinary	It is 5 Edw. long.	five / Edw	It / is / five / Edw / long / . / Next / .
C	Edw	1	edw	False	comma-neighbor	We noted, Edw, today.	Edw	We / noted / , / Edw / , / today / . / Next / .
C	Edw	1	edw	False	case-variant-neutral	We noted edw today.	edw	We / noted / edw / today / . / Next / .
C	FEB	1	feb	False	baseline-neutral	We noted FEB today.	February	We / noted / February / today / . / Next / .
C	FEB	1	feb	False	calendar-date	We met on FEB. 5.	February	We / met / on / February / fifth / . / Next / .
C	FEB	1	feb	False	comma-neighbor	We noted, FEB, today.	February	We / noted / , / February / , / today / . / Next / .
C	FEB	1	feb	False	case-variant-neutral	We noted feb today.	February	We / noted / February / today / . / Next / .
C	FL	1	fl	True	baseline-neutral	We noted FL today.	FL	We / noted / FL / today / . / Next / .
C	FL	1	fl	True	state-code	We live in FL.	FL	We / live / in / FL / . / Next / .
C	FL	1	fl	True	comma-neighbor	We noted, FL, today.	FL	We / noted / , / FL / , / today / . / Next / .
C	FL	1	fl	True	case-variant-neutral	We noted fl today.	fl	We / noted / fl / today / . / Next / .
C	FM	1	fm	True	baseline-neutral	We noted FM today.	FM	We / noted / FM / today / . / Next / .
C	FM	1	fm	True	numeric-or-ordinary	It is 5 FM. long.	five / fathoms	It / is / five / fathoms / long / . / Next / .
C	FM	1	fm	True	comma-neighbor	We noted, FM, today.	FM	We / noted / , / FM / , / today / . / Next / .
C	FM	1	fm	True	case-variant-neutral	We noted fm today.	fm	We / noted / fm / today / . / Next / .
C	FRI	1	fri	False	baseline-neutral	We noted FRI today.	FRI	We / noted / FRI / today / . / Next / .
C	FRI	1	fri	False	calendar-weekday	We met on FRI.	Friday	We / met / on / Friday / . / Next / .
C	FRI	1	fri	False	comma-neighbor	We noted, FRI, today.	FRI	We / noted / , / FRI / , / today / . / Next / .
C	FRI	1	fri	False	case-variant-neutral	We noted fri today.	fri	We / noted / fri / today / . / Next / .
C	Feb	1	feb	False	baseline-neutral	We noted Feb today.	February	We / noted / February / today / . / Next / .
C	Feb	1	feb	False	calendar-date	We met on Feb. 5.	February	We / met / on / February / fifth / . / Next / .
C	Feb	1	feb	False	comma-neighbor	We noted, Feb, today.	February	We / noted / , / February / , / today / . / Next / .
C	Feb	1	feb	False	case-variant-neutral	We noted feb today.	February	We / noted / February / today / . / Next / .
C	Fri	1	fri	False	baseline-neutral	We noted Fri today.	Fri	We / noted / Fri / today / . / Next / .
C	Fri	1	fri	False	calendar-weekday	We met on Fri.	Friday	We / met / on / Friday / . / Next / .
C	Fri	1	fri	False	comma-neighbor	We noted, Fri, today.	Fri	We / noted / , / Fri / , / today / . / Next / .
C	Fri	1	fri	False	case-variant-neutral	We noted fri today.	fri	We / noted / fri / today / . / Next / .
C	GA	1	ga	False	baseline-neutral	We noted GA today.	GA	We / noted / GA / today / . / Next / .
C	GA	1	ga	False	state-code	We live in GA.	GA	We / live / in / GA / . / Next / .
C	GA	1	ga	False	comma-neighbor	We noted, GA, today.	GA	We / noted / , / GA / , / today / . / Next / .
C	GA	1	ga	False	case-variant-neutral	We noted ga today.	ga	We / noted / ga / today / . / Next / .
C	GEO	1	geo	False	baseline-neutral	We noted GEO today.	GEO	We / noted / GEO / today / . / Next / .
C	GEO	1	geo	False	numeric-or-ordinary	It is 5 GEO. long.	five / GEO	It / is / five / GEO / long / . / Next / .
C	GEO	1	geo	False	comma-neighbor	We noted, GEO, today.	GEO	We / noted / , / GEO / , / today / . / Next / .
C	GEO	1	geo	False	case-variant-neutral	We noted geo today.	geo	We / noted / geo / today / . / Next / .
C	GIL	1	gil	False	baseline-neutral	We noted GIL today.	GIL	We / noted / GIL / today / . / Next / .
C	GIL	1	gil	False	numeric-or-ordinary	It is 5 GIL. long.	five / GIL	It / is / five / GIL / long / . / Next / .
C	GIL	1	gil	False	comma-neighbor	We noted, GIL, today.	GIL	We / noted / , / GIL / , / today / . / Next / .
C	GIL	1	gil	False	case-variant-neutral	We noted gil today.	gil	We / noted / gil / today / . / Next / .
C	GU	1	gu	False	baseline-neutral	We noted GU today.	GU	We / noted / GU / today / . / Next / .
C	GU	1	gu	False	numeric-or-ordinary	It is 5 GU. long.	five / GU	It / is / five / GU / long / . / Next / .
C	GU	1	gu	False	comma-neighbor	We noted, GU, today.	GU	We / noted / , / GU / , / today / . / Next / .
C	GU	1	gu	False	case-variant-neutral	We noted gu today.	gu	We / noted / gu / today / . / Next / .
C	Geo	1	geo	False	baseline-neutral	We noted Geo today.	Geo	We / noted / Geo / today / . / Next / .
C	Geo	1	geo	False	numeric-or-ordinary	It is 5 Geo. long.	five / Geo	It / is / five / Geo / long / . / Next / .
C	Geo	1	geo	False	comma-neighbor	We noted, Geo, today.	Geo	We / noted / , / Geo / , / today / . / Next / .
C	Geo	1	geo	False	case-variant-neutral	We noted geo today.	geo	We / noted / geo / today / . / Next / .
C	Gil	1	gil	False	baseline-neutral	We noted Gil today.	Gil	We / noted / Gil / today / . / Next / .
C	Gil	1	gil	False	numeric-or-ordinary	It is 5 Gil. long.	five / Gil	It / is / five / Gil / long / . / Next / .
C	Gil	1	gil	False	comma-neighbor	We noted, Gil, today.	Gil	We / noted / , / Gil / , / today / . / Next / .
C	Gil	1	gil	False	case-variant-neutral	We noted gil today.	gil	We / noted / gil / today / . / Next / .
C	Gy	1	gy	False	baseline-neutral	We noted Gy today.	gray	We / noted / gray / today / . / Next / .
C	Gy	1	gy	False	numeric-or-ordinary	It is 5 Gy. long.	five / grays	It / is / five / grays / long / . / Next / .
C	Gy	1	gy	False	comma-neighbor	We noted, Gy, today.	gray	We / noted / , / gray / , / today / . / Next / .
C	Gy	1	gy	False	case-variant-neutral	We noted gy today.	gy	We / noted / gy / today / . / Next / .
C	HI	1	hi	False	baseline-neutral	We noted HI today.	HI	We / noted / HI / today / . / Next / .
C	HI	1	hi	False	state-code	We live in HI.	HI	We / live / in / HI / . / Next / .
C	HI	1	hi	False	comma-neighbor	We noted, HI, today.	HI	We / noted / , / HI / , / today / . / Next / .
C	HI	1	hi	False	case-variant-neutral	We noted hi today.	hi	We / noted / hi / today / . / Next / .
C	Hz	1	hz	True	baseline-neutral	We noted Hz today.	hertz	We / noted / hertz / today / . / Next / .
C	Hz	1	hz	True	numeric-or-ordinary	It is 5 Hz. long.	five / hertz	It / is / five / hertz / long / . / Next / .
C	Hz	1	hz	True	comma-neighbor	We noted, Hz, today.	hertz	We / noted / , / hertz / , / today / . / Next / .
C	Hz	1	hz	True	case-variant-neutral	We noted hz today.	hz	We / noted / hz / today / . / Next / .
C	IA	1	ia	False	baseline-neutral	We noted IA today.	IA	We / noted / IA / today / . / Next / .
C	IA	1	ia	False	state-code	We live in IA.	IA	We / live / in / IA / . / Next / .
C	IA	1	ia	False	comma-neighbor	We noted, IA, today.	IA	We / noted / , / IA / , / today / . / Next / .
C	IA	1	ia	False	case-variant-neutral	We noted ia today.	ia	We / noted / ia / today / . / Next / .
C	ID	1	id	False	baseline-neutral	We noted ID today.	ID	We / noted / ID / today / . / Next / .
C	ID	1	id	False	state-code	We live in ID.	ID	We / live / in / ID / . / Next / .
C	ID	1	id	False	comma-neighbor	We noted, ID, today.	ID	We / noted / , / ID / , / today / . / Next / .
C	ID	1	id	False	case-variant-neutral	We noted id today.	id	We / noted / id / today / . / Next / .
C	IL	1	il	False	baseline-neutral	We noted IL today.	IL	We / noted / IL / today / . / Next / .
C	IL	1	il	False	state-code	We live in IL.	IL	We / live / in / IL / . / Next / .
C	IL	1	il	False	comma-neighbor	We noted, IL, today.	IL	We / noted / , / IL / , / today / . / Next / .
C	IL	1	il	False	case-variant-neutral	We noted il today.	il	We / noted / il / today / . / Next / .
C	IN	1	in	True	baseline-neutral	We noted IN today.	IN	We / noted / IN / today / . / Next / .
C	IN	1	in	True	state-code	We live in IN.	IN	We / live / in / IN / . / Next / .
C	IN	1	in	True	comma-neighbor	We noted, IN, today.	IN	We / noted / , / IN / , / today / . / Next / .
C	IN	1	in	True	case-variant-neutral	We noted in today.	in	We / noted / in / today / . / Next / .
C	JA	1	ja	False	baseline-neutral	We noted JA today.	JA	We / noted / JA / today / . / Next / .
C	JA	1	ja	False	numeric-or-ordinary	It is 5 JA. long.	January / fifth	It / is / January / fifth / long / . / Next / .
C	JA	1	ja	False	comma-neighbor	We noted, JA, today.	JA	We / noted / , / JA / , / today / . / Next / .
C	JA	1	ja	False	case-variant-neutral	We noted ja today.	ja	We / noted / ja / today / . / Next / .
C	JAN	1	jan	False	baseline-neutral	We noted JAN today.	January	We / noted / January / today / . / Next / .
C	JAN	1	jan	False	calendar-date	We met on JAN. 5.	January	We / met / on / January / fifth / . / Next / .
C	JAN	1	jan	False	comma-neighbor	We noted, JAN, today.	January	We / noted / , / January / , / today / . / Next / .
C	JAN	1	jan	False	case-variant-neutral	We noted jan today.	January	We / noted / January / today / . / Next / .
C	JAS	1	jas	False	baseline-neutral	We noted JAS today.	JAS	We / noted / JAS / today / . / Next / .
C	JAS	1	jas	False	numeric-or-ordinary	It is 5 JAS. long.	five / JAS	It / is / five / JAS / long / . / Next / .
C	JAS	1	jas	False	comma-neighbor	We noted, JAS, today.	JAS	We / noted / , / JAS / , / today / . / Next / .
C	JAS	1	jas	False	case-variant-neutral	We noted jas today.	jas	We / noted / jas / today / . / Next / .
C	JE	1	je	False	baseline-neutral	We noted JE today.	JE	We / noted / JE / today / . / Next / .
C	JE	1	je	False	numeric-or-ordinary	It is 5 JE. long.	June / fifth	It / is / June / fifth / long / . / Next / .
C	JE	1	je	False	comma-neighbor	We noted, JE, today.	JE	We / noted / , / JE / , / today / . / Next / .
C	JE	1	je	False	case-variant-neutral	We noted je today.	je	We / noted / je / today / . / Next / .
C	JL	1	jl	False	baseline-neutral	We noted JL today.	JL	We / noted / JL / today / . / Next / .
C	JL	1	jl	False	numeric-or-ordinary	It is 5 JL. long.	July / fifth	It / is / July / fifth / long / . / Next / .
C	JL	1	jl	False	comma-neighbor	We noted, JL, today.	JL	We / noted / , / JL / , / today / . / Next / .
C	JL	1	jl	False	case-variant-neutral	We noted jl today.	jl	We / noted / jl / today / . / Next / .
C	JOS	1	jos	False	baseline-neutral	We noted JOS today.	JOS	We / noted / JOS / today / . / Next / .
C	JOS	1	jos	False	numeric-or-ordinary	It is 5 JOS. long.	five / JOS	It / is / five / JOS / long / . / Next / .
C	JOS	1	jos	False	comma-neighbor	We noted, JOS, today.	JOS	We / noted / , / JOS / , / today / . / Next / .
C	JOS	1	jos	False	case-variant-neutral	We noted jos today.	jos	We / noted / jos / today / . / Next / .
C	JUL	1	jul	False	baseline-neutral	We noted JUL today.	July	We / noted / July / today / . / Next / .
C	JUL	1	jul	False	calendar-date	We met on JUL. 5.	July	We / met / on / July / fifth / . / Next / .
C	JUL	1	jul	False	comma-neighbor	We noted, JUL, today.	July	We / noted / , / July / , / today / . / Next / .
C	JUL	1	jul	False	case-variant-neutral	We noted jul today.	July	We / noted / July / today / . / Next / .
C	JUN	1	jun	False	baseline-neutral	We noted JUN today.	June	We / noted / June / today / . / Next / .
C	JUN	1	jun	False	calendar-date	We met on JUN. 5.	June	We / met / on / June / fifth / . / Next / .
C	JUN	1	jun	False	comma-neighbor	We noted, JUN, today.	June	We / noted / , / June / , / today / . / Next / .
C	JUN	1	jun	False	case-variant-neutral	We noted jun today.	June	We / noted / June / today / . / Next / .
C	JY	1	jy	False	baseline-neutral	We noted JY today.	JY	We / noted / JY / today / . / Next / .
C	JY	1	jy	False	numeric-or-ordinary	It is 5 JY. long.	July / fifth	It / is / July / fifth / long / . / Next / .
C	JY	1	jy	False	comma-neighbor	We noted, JY, today.	JY	We / noted / , / JY / , / today / . / Next / .
C	JY	1	jy	False	case-variant-neutral	We noted jy today.	jy	We / noted / jy / today / . / Next / .
C	Ja	1	ja	False	baseline-neutral	We noted Ja today.	Ja	We / noted / Ja / today / . / Next / .
C	Ja	1	ja	False	numeric-or-ordinary	It is 5 Ja. long.	January / fifth	It / is / January / fifth / long / . / Next / .
C	Ja	1	ja	False	comma-neighbor	We noted, Ja, today.	Ja	We / noted / , / Ja / , / today / . / Next / .
C	Ja	1	ja	False	case-variant-neutral	We noted ja today.	ja	We / noted / ja / today / . / Next / .
C	Jan	1	jan	False	baseline-neutral	We noted Jan today.	January	We / noted / January / today / . / Next / .
C	Jan	1	jan	False	calendar-date	We met on Jan. 5.	January	We / met / on / January / fifth / . / Next / .
C	Jan	1	jan	False	comma-neighbor	We noted, Jan, today.	January	We / noted / , / January / , / today / . / Next / .
C	Jan	1	jan	False	case-variant-neutral	We noted jan today.	January	We / noted / January / today / . / Next / .
C	Jas	1	jas	False	baseline-neutral	We noted Jas today.	Jas	We / noted / Jas / today / . / Next / .
C	Jas	1	jas	False	numeric-or-ordinary	It is 5 Jas. long.	five / Jas	It / is / five / Jas / long / . / Next / .
C	Jas	1	jas	False	comma-neighbor	We noted, Jas, today.	Jas	We / noted / , / Jas / , / today / . / Next / .
C	Jas	1	jas	False	case-variant-neutral	We noted jas today.	jas	We / noted / jas / today / . / Next / .
C	Je	1	je	False	baseline-neutral	We noted Je today.	Je	We / noted / Je / today / . / Next / .
C	Je	1	je	False	numeric-or-ordinary	It is 5 Je. long.	June / fifth	It / is / June / fifth / long / . / Next / .
C	Je	1	je	False	comma-neighbor	We noted, Je, today.	Je	We / noted / , / Je / , / today / . / Next / .
C	Je	1	je	False	case-variant-neutral	We noted je today.	je	We / noted / je / today / . / Next / .
C	Jl	1	jl	False	baseline-neutral	We noted Jl today.	Jl	We / noted / Jl / today / . / Next / .
C	Jl	1	jl	False	numeric-or-ordinary	It is 5 Jl. long.	July / fifth	It / is / July / fifth / long / . / Next / .
C	Jl	1	jl	False	comma-neighbor	We noted, Jl, today.	Jl	We / noted / , / Jl / , / today / . / Next / .
C	Jl	1	jl	False	case-variant-neutral	We noted jl today.	jl	We / noted / jl / today / . / Next / .
C	Jos	1	jos	False	baseline-neutral	We noted Jos today.	Jos	We / noted / Jos / today / . / Next / .
C	Jos	1	jos	False	numeric-or-ordinary	It is 5 Jos. long.	five / Jos	It / is / five / Jos / long / . / Next / .
C	Jos	1	jos	False	comma-neighbor	We noted, Jos, today.	Jos	We / noted / , / Jos / , / today / . / Next / .
C	Jos	1	jos	False	case-variant-neutral	We noted jos today.	jos	We / noted / jos / today / . / Next / .
C	Jul	1	jul	False	baseline-neutral	We noted Jul today.	July	We / noted / July / today / . / Next / .
C	Jul	1	jul	False	calendar-date	We met on Jul. 5.	July	We / met / on / July / fifth / . / Next / .
C	Jul	1	jul	False	comma-neighbor	We noted, Jul, today.	July	We / noted / , / July / , / today / . / Next / .
C	Jul	1	jul	False	case-variant-neutral	We noted jul today.	July	We / noted / July / today / . / Next / .
C	Jun	1	jun	False	baseline-neutral	We noted Jun today.	June	We / noted / June / today / . / Next / .
C	Jun	1	jun	False	calendar-date	We met on Jun. 5.	June	We / met / on / June / fifth / . / Next / .
C	Jun	1	jun	False	comma-neighbor	We noted, Jun, today.	June	We / noted / , / June / , / today / . / Next / .
C	Jun	1	jun	False	case-variant-neutral	We noted jun today.	June	We / noted / June / today / . / Next / .
C	Jy	1	jy	False	baseline-neutral	We noted Jy today.	Jy	We / noted / Jy / today / . / Next / .
C	Jy	1	jy	False	numeric-or-ordinary	It is 5 Jy. long.	July / fifth	It / is / July / fifth / long / . / Next / .
C	Jy	1	jy	False	comma-neighbor	We noted, Jy, today.	Jy	We / noted / , / Jy / , / today / . / Next / .
C	Jy	1	jy	False	case-variant-neutral	We noted jy today.	jy	We / noted / jy / today / . / Next / .
C	KS	1	ks	False	baseline-neutral	We noted KS today.	KS	We / noted / KS / today / . / Next / .
C	KS	1	ks	False	state-code	We live in KS.	KS	We / live / in / KS / . / Next / .
C	KS	1	ks	False	comma-neighbor	We noted, KS, today.	KS	We / noted / , / KS / , / today / . / Next / .
C	KS	1	ks	False	case-variant-neutral	We noted ks today.	ks	We / noted / ks / today / . / Next / .
C	KY	1	ky	False	baseline-neutral	We noted KY today.	KY	We / noted / KY / today / . / Next / .
C	KY	1	ky	False	state-code	We live in KY.	KY	We / live / in / KY / . / Next / .
C	KY	1	ky	False	comma-neighbor	We noted, KY, today.	KY	We / noted / , / KY / , / today / . / Next / .
C	KY	1	ky	False	case-variant-neutral	We noted ky today.	ky	We / noted / ky / today / . / Next / .
C	LA	1	la	False	baseline-neutral	We noted LA today.	LA	We / noted / LA / today / . / Next / .
C	LA	1	la	False	state-code	We live in LA.	LA	We / live / in / LA / . / Next / .
